20:37:12 : temp:21, pwm:0/50, des_temp:0, auto:0
20:37:13 : temp:21, pwm:0/50, des_temp:0, auto:0
20:37:14 : temp:21, pwm:0/50, des_temp:0, auto:0
20:37:15 : temp:21, pwm:0/50, des_temp:0, auto:0
20:37:16 : temp:21, pwm:0/50, des_temp:0, auto:0
20:37:17 : temp:21, pwm:0/50, des_temp:0, auto:0
20:37:18 : temp:21, pwm:0/50, des_temp:0, auto:0
20:37:19 : temp:21, pwm:0/50, des_temp:0, auto:0
20:37:20 : temp:21, pwm:0/50, des_temp:0, auto:0
20:37:21 : temp:21, pwm:0/50, des_temp:0, auto:0
20:37:22 : temp:21, pwm:0/50, des_temp:21, auto:0
20:37:23 : temp:21, pwm:0/50, des_temp:21, auto:0
20:37:24 : temp:21, pwm:0/50, des_temp:21, auto:0
20:37:25 : temp:21, pwm:0/50, des_temp:21, auto:0
20:37:26 : temp:21, pwm:0/50, des_temp:21, auto:0
20:37:27 : temp:21, pwm:0/50, des_temp:21, auto:0
20:37:28 : temp:21, pwm:0/50, des_temp:21, auto:0
20:37:29 : temp:21, pwm:0/50, des_temp:21, auto:0
20:37:30 : temp:21, pwm:0/50, des_temp:21, auto:0
20:37:31 : temp:21, pwm:0/50, des_temp:21, auto:0
20:37:32 : temp:21, pwm:0/50, des_temp:21, auto:0
20:37:33 : temp:21, pwm:0/50, des_temp:21, auto:0
20:37:34 : temp:21, pwm:0/50, des_temp:21, auto:0
20:37:35 : temp:21, pwm:0/50, des_temp:21, auto:0
20:37:36 : temp:21, pwm:0/50, des_temp:21, auto:0
20:37:37 : temp:21, pwm:0/50, des_temp:21, auto:0
20:37:38 : temp:21, pwm:0/50, des_temp:21, auto:0
20:37:39 : temp:21, pwm:0/50, des_temp:21, auto:0
20:37:40 : temp:21, pwm:0/50, des_temp:21, auto:0
20:37:41 : temp:21, pwm:0/50, des_temp:21, auto:0
20:37:42 : temp:21, pwm:0/50, des_temp:21, auto:0
20:37:43 : temp:21, pwm:0/50, des_temp:21, auto:0
20:37:44 : temp:21, pwm:0/50, des_temp:21, auto:0
20:37:45 : temp:21, pwm:0/50, des_temp:21, auto:0
20:37:46 : temp:21, pwm:0/50, des_temp:21, auto:0
20:37:47 : temp:21, pwm:0/50, des_temp:21, auto:0
20:37:48 : temp:21, pwm:0/50, des_temp:21, auto:0
20:37:50 : temp:21, pwm:0/50, des_temp:21, auto:0
20:37:51 : temp:21, pwm:0/50, des_temp:21, auto:0
20:37:52 : temp:21, pwm:0/50, des_temp:21, auto:0
20:37:52 : temp:21, pwm:0/50, des_temp:21, auto:0
20:37:54 : temp:21, pwm:0/50, des_temp:21, auto:0
20:37:55 : temp:21, pwm:0/50, des_temp:21, auto:0
20:37:56 : temp:21, pwm:0/50, des_temp:21, auto:0
20:37:56 : temp:21, pwm:0/50, des_temp:21, auto:0
20:37:58 : temp:21, pwm:0/50, des_temp:21, auto:0
20:37:59 : temp:21, pwm:0/50, des_temp:21, auto:0
20:37:59 : temp:21, pwm:0/50, des_temp:21, auto:0
20:38:00 : temp:21, pwm:0/50, des_temp:21, auto:0
20:38:01 : temp:21, pwm:0/50, des_temp:21, auto:0
20:38:02 : temp:21, pwm:0/50, des_temp:21, auto:0
20:38:04 : temp:21, pwm:0/50, des_temp:21, auto:0
20:38:04 : temp:21, pwm:0/50, des_temp:21, auto:0
20:38:05 : temp:21, pwm:0/50, des_temp:21, auto:0
20:38:07 : temp:21, pwm:0/50, des_temp:21, auto:0
20:38:08 : temp:21, pwm:0/50, des_temp:21, auto:0
20:38:08 : temp:21, pwm:0/50, des_temp:21, auto:0
20:38:10 : temp:21, pwm:0/50, des_temp:21, auto:0
20:38:10 : temp:21, pwm:0/50, des_temp:21, auto:0
20:38:11 : temp:21, pwm:0/50, des_temp:21, auto:0
20:38:12 : temp:21, pwm:0/50, des_temp:21, auto:0
20:38:13 : temp:21, pwm:0/50, des_temp:21, auto:0
20:38:14 : temp:21, pwm:0/50, des_temp:21, auto:0
20:38:16 : temp:21, pwm:0/50, des_temp:21, auto:0
20:38:16 : temp:21, pwm:0/50, des_temp:21, auto:0
20:38:17 : temp:21, pwm:0/50, des_temp:21, auto:0
20:38:18 : temp:21, pwm:0/50, des_temp:21, auto:0
20:38:20 : temp:21, pwm:0/50, des_temp:21, auto:0
20:38:21 : temp:21, pwm:0/50, des_temp:21, auto:0
20:38:21 : temp:21, pwm:0/50, des_temp:21, auto:0
20:38:23 : temp:21, pwm:0/50, des_temp:21, auto:0
20:38:24 : temp:21, pwm:0/50, des_temp:21, auto:0
20:38:25 : temp:21, pwm:0/50, des_temp:21, auto:0
20:38:25 : temp:21, pwm:0/50, des_temp:21, auto:0
20:38:26 : temp:21, pwm:0/50, des_temp:21, auto:0
20:38:29 : temp:21, pwm:0/50, des_temp:21, auto:0
20:38:29 : temp:21, pwm:0/50, des_temp:21, auto:0
20:38:29 : temp:21, pwm:0/50, des_temp:21, auto:0
20:38:31 : temp:21, pwm:0/50, des_temp:21, auto:0
20:38:31 : temp:21, pwm:0/50, des_temp:21, auto:0
20:38:33 : temp:21, pwm:0/50, des_temp:21, auto:0
20:38:34 : temp:21, pwm:0/50, des_temp:21, auto:0
20:38:35 : temp:21, pwm:0/50, des_temp:21, auto:0
20:38:35 : temp:21, pwm:0/50, des_temp:21, auto:0
20:38:37 : temp:21, pwm:0/50, des_temp:21, auto:0
20:38:37 : temp:21, pwm:0/50, des_temp:21, auto:0
20:38:39 : temp:21, pwm:0/50, des_temp:21, auto:0
20:38:39 : temp:21, pwm:0/50, des_temp:21, auto:0
20:38:41 : temp:21, pwm:0/50, des_temp:21, auto:0
20:38:42 : temp:21, pwm:0/50, des_temp:21, auto:0
20:38:43 : temp:21, pwm:0/50, des_temp:21, auto:0
20:38:43 : temp:21, pwm:0/50, des_temp:21, auto:0
20:38:45 : temp:21, pwm:0/50, des_temp:21, auto:0
20:38:46 : temp:21, pwm:0/50, des_temp:21, auto:0
20:38:47 : temp:21, pwm:0/50, des_temp:21, auto:0
20:38:47 : temp:21, pwm:0/50, des_temp:21, auto:0
20:38:49 : temp:21, pwm:0/50, des_temp:21, auto:0
20:38:50 : temp:21, pwm:0/50, des_temp:21, auto:0
20:38:51 : temp:21, pwm:0/50, des_temp:21, auto:0
20:38:51 : temp:21, pwm:0/50, des_temp:21, auto:0
20:38:52 : temp:21, pwm:0/50, des_temp:21, auto:0
20:38:54 : temp:21, pwm:0/50, des_temp:21, auto:0
20:38:56 : temp:21, pwm:0/50, des_temp:21, auto:0
20:38:56 : temp:21, pwm:0/50, des_temp:21, auto:0
temp:21, pwm:0/50, des_temp:21, auto:0
20:38:58 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:00 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:00 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:00 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:01 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:03 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:03 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:04 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:05 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:07 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:07 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:09 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:09 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:11 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:12 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:12 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:14 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:14 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:16 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:17 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:18 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:18 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:20 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:21 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:22 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:22 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:24 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:24 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:25 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:26 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:28 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:29 : temp:21, pwm:0/50, des_temp:21, auto:0
20:39:30 : temp:21, pwm:0/50, des_temp:21, auto:0
